text,label
1 बस में 235 यात्री बैठे थे ।,0
इनमें से 38 यात्री उत्तर गए ।,1
बताइए,2
"बताइए , अब बस में कितने यात्री रहे ?",0
कनिष्क के पास 5 गुब्बारे थे,2
कनिष्क के पास 5 गुब्बारे थे और सिद्धांत के पास 6 गुब्बारे थे ।,2
उन्होंने उन्हें 1 साथ मिला दिया ।,0
पर मालिनी ने उनमें से 7 चुरा लिए ।,1
कुल कितने गुब्बारे बचे हैं ?,0
वर्षा के पास 135 रुपये थे ।,2
उसने 20 रुपये अंजना को व 15 रुपये मंजरी को दे,5
उसने 20 रुपये अंजना को व 15 रुपये मंजरी को दे दिए तो बताओ,2
उसने 20 रुपये अंजना को व 15 रुपये मंजरी को दे दिए तो बताओ वर्षा के पास कितने रुपये बचे ?,0
मारिया ने अपने बगीचे से 48 गाजरें उखाड़ीं ।,0
अगर उसने उनमें से 15 बाहर फेंक,1
अगर उसने उनमें से 15 बाहर फेंक दीं और फिर अगले दिन 11 और फेंक,1
"अगर उसने उनमें से 15 बाहर फेंक दीं और फिर अगले दिन 11 और फेंक दीं , तो उसके पास कितनी गाजरें बचीं ?",0
आपके घर से लगभग 500 कदम की दूरी पर 1 मंदिर है ।,2
320 कदम आप चल,0
"320 कदम आप चल चुके हैं , अब बताइए",2
"320 कदम आप चल चुके हैं , अब बताइए , अब कितने कदम और चले",0
"320 कदम आप चल चुके हैं , अब बताइए , अब कितने कदम और चले कि आप मंदिर तक पहुँच जाएँ ?",0
पिछले साल न्यूबर्ग के हवाई अड्डे पर कुल 14507 यात्री उतरे थे ।,5
दुर्भाग्य से उनमें से 213 यात्री देर से उतरे ।,5
न्यूबर्ग में पिछले साल कितने यात्री समय पर उतरे ?,5
1 व्यापारी के पास 58 बोरी मक्का थी ।,2
उसमें से उसने 34 बोरी मक्का बेच दी ।,5
बताइए,2
"बताइए , अब व्यापारी के पास कितने बोरी मक्का बची ?",0
दाँत में दर्द होने,2
दाँत में दर्द होने के कारण साक्षी को डॉक्टर ने रोज आइसक्रीम खाने को कहा ।,1
दाँत में दर्द होने के कारण साक्षी को डॉक्टर ने रोज आइसक्रीम खाने को कहा ।,2
साक्षी 10 आइसक्रीम खरीदकर लाई ।,4
साक्षी 10 आइसक्रीम खरीदकर लाई ।,0
उसमें से 2 पिघलकर ख़राब हो गई ।,1
उसमें से 2 पिघलकर ख़राब हो गई ।,2
फिर उसने 1 आइसक्रीम खा ली ।,1
उसके पास अब कितनी आइसक्रीम बची है ?,0
1 क्रिकेट खिलाड़ी ने टेस्ट क्रिकेट में 23030 रन बनाए,0
